Weeks Charted,Weeks Top 40,Weeks Top 10,Weeks at Peak,Highest Chart,Artist,Album,Track,Time
38,22,10,2,7,Alex Clare,The Lateness Of The Hour,Too Close,4:16:00
1,0,0,1,83,Maroon 5,The Hunger Games (Songs From District 12 & Beyond),Come Away To The Water,5:13:00
9,0,0,1,87,Craig Morgan,This Ole Boy,This Ole Boy,4:23:00
2,0,0,2,94,Shinedown,Amaryllis,Bully,4:02:00
22,9,0,1,26,Havana Brown,s,We Run The Night,3:48:00
20,0,0,1,80,Drake,Take Care (Deluxe Version),Crew Love,3:28:00
20,16,12,1,2,Justin Bieber,s,Boyfriend,2:52:00
1,0,0,1,64,Waka Flocka Flame,s,I Don't Really Care,3:55:00
26,3,0,1,35,Trey Songz,s,Heart Attack,3:55:00
1,0,0,1,78,Sean Paul,s,She Doesn't Mind,3:47:00
20,11,0,1,11,Pitbull,Men In Black III,Back In Time,3:25:00
25,0,0,1,44,Josh Turner,s,Time Is Love,3:21:00
12,0,0,1,81,Michel Telo,s,Ai Se Eu Te Pego,2:45:00
9,0,0,1,86,Chris Cagle,s,Got My Country On,3:53:00
1,0,0,1,99,Dev,The Night The Sun Came Up,Naked,3:56:00
18,8,0,1,17,Jennifer Lopez,s,Dance Again,3:57:00
32,30,0,1,13,Kanye West,s,Mercy,5:32:00
7,1,0,1,40,Kenny Chesney,s,Feel Like A Rock Star,3:31:00
15,0,0,1,51,Nicki Minaj,Pink Friday...Roman Reloaded (DeluxeVersion),Right By My Side,4:25:00
20,0,0,1,58,DJ Khaled,s,Take It To The Head,4:24:00
32,21,0,2,16,Demi Lovato,Unbroken,Give Your Heart A Break,3:25:00
20,0,0,1,48,Nicki Minaj,Pink Friday�Roman Reloaded (Deluxe Version),Beez In The Trap,4:28:00
9,5,0,1,22,Nicki Minaj,Pink Friday�Roman Reloaded (Deluxe Version),Va Va Voom,3:03:00
1,0,0,1,81,T.I.,s,Love This Life,3:55:00
6,0,0,1,80,Fat Joe,s,Another Round,4:48:00
10,0,0,2,84,Andy Grammer,Andy Grammer,Fine By Me,2:52:00
30,1,0,1,31,Of Monsters And Men,My Head Is An Animal,Little Talks,4:26:00
20,5,0,1,34,Gloriana,s,(Kissed You) Good Night,3:52:00
2,0,0,1,92,K'Naan,s,Is Anybody Out There?,3:58:00
18,0,0,1,46,Lady Antebellum,Own The Night,Dancin' Away With My Heart,3:52:00
19,0,0,2,62,Drake,Take Care (Deluxe Version),HYFR (Hell Yeah F*****g Right,3:26:00
2,1,0,1,26,Glee Cast,s,Somebody That I Used To Know,4:06:00
20,10,0,2,36,Ca$hOut,s,Ca$hin Out,3:58:00
1,0,0,1,86,Juliet Simms,s,Roxanne,3:00:00
2,0,0,1,90,Jennifer Hudson,s,Think Like A Man,4:01:00
1,0,0,1,98,Glee Cast,s,Hungry Like A Wolf / Rio,3:03:00
31,30,19,6,2,Maroon 5,s,Payphone,3:51:00
23,1,0,1,30,Linkin Park,Living Things,BURN IT DOWN,3:51:00
2,0,0,1,53,Mac Miller,s,Loud,2:51:00
2,0,0,1,58,Rick Ross,No Equal,Stay Schemin,4:27:00
32,25,8,2,7,David Guetta,s,Titanium,4:05:00
1,0,0,1,86,Kanye West,s,Way Too Cold,3:39:00
1,0,0,1,89,Chris Brown,s,Sweet Love,3:19:00
15,0,0,1,52,Toby Keith,Clancy's Tavern (Deluxe Version),Beers Ago,3:26:00
1,0,0,1,96,Gotye,Making Mirrors,Eyes Wide Open,3:11:00
12,0,0,1,79,John Legend,Think Like A Man OST,Tonight (Best You Ever Had),3:59:00
6,0,0,2,92,Future,Pluto,Same Damn Time,4:33:00
20,13,0,1,17,Wiz Khalifa,s,"Work Hard, Play Hard",3:40:00
29,21,12,2,1,Flo Rida,s,Whistle,3:45:00
1,0,0,1,65,Glee Cast,s,How Will I Know,2:47:00
21,18,6,2,9,Usher,s,Scream,3:54:00
25,22,11,2,5,Rihanna,Talk That Talk (Deluxe Edition),Where Have You Been,4:02:00
20,13,0,2,17,Calvin Harris,s,Let's Go,3:46:00
1,0,0,1,92,Glee Cast,s,It's Not Right But It's Okay,4:18:00
34,21,0,1,16,Hunter Hayes,Hunter Hayes,Wanted,3:48:00
19,1,0,1,18,B.o.B,Strange Clouds,Both Of Us,3:36:00
22,15,0,1,20,Carrie Underwood,Blown Away,Blown Away,4:00:00
1,0,0,1,70,Juliet Simms,s,"It's A Man's, Man's, Man's World",3:32:00
1,0,0,1,71,Glee Cast,s,Shake It Out,4:09:00
22,0,0,1,50,Jana Kramer,s,Why Ya Wanna,3:41:00
17,0,0,1,60,"Band Perry, The",The Band Perry,Postcard From Paris,3:35:00
26,17,0,1,24,2 Chainz,s,No Lie,3:59:00
1,0,0,1,58,Tony Lucca,s,99 Problems,2:23:00
1,0,0,1,60,Justin Bieber,s,Turn To You (Mother's Day Dedication),3:39:00
1,0,0,1,68,Adam Levine,s,Yesterday,2:11:00
1,0,0,1,83,Jermaine Paul,s,I Believe I Can Fly,3:25:00
1,0,0,1,85,Christina Aguilera,s,The Prayer,3:08:00
20,7,0,1,33,Dierks Bentley,Home,5-1-5-0,3:02:00
20,0,0,3,46,Usher,s,Lemme See,4:13:00
20,11,0,2,23,Kenny Chesney,s,Come Over,4:08:00
17,0,0,1,42,Grouplove,Never Trust A Happy Song,Tongue Tied,3:38:00
19,0,0,2,61,J. Cole,Cole World - The Sideline Story,Nobody's Perfect,3:10:00
15,6,0,2,25,Gym Class Heroes,The Papercut Chronicles II,The Fighter,3:48:00
20,5,0,1,32,Love And Theft,s,Angel Eyes,3:06:00
22,1,0,1,40,Dustin Lynch,s,Cowboys And Angels,3:47:00
25,21,7,2,7,Phillip Phillips,s,Home,3:29:00
26,24,13,1,2,Katy Perry,Teenage Dream - The Complete Confection,Wide Awake,3:40:00
1,0,0,1,76,Lupe Fiasco,s,Around My Way (Freedom Ain't Free),4:17:00
25,17,1,1,10,Chris Brown,Fortune (Deluxe Version),Don't Wake Me Up,3:42:00
1,0,0,1,90,Jason DeRulo,s,Undefeated,3:36:00
9,0,0,1,62,Rita Ora,s,How Do We (Party),4:06:00
1,0,0,1,97,Phillip Phillips,s,We've Got Tonight,4:09:00
2,1,0,1,17,Justin Bieber,Believe (Deluxe Edition),Die In Your Arms,3:57:00
1,0,0,1,85,Jay Sean,s,I'm All Yours,3:38:00
15,0,0,1,50,"Wanted, The",The Wanted,Chasing The Sun,3:18:00
18,0,0,1,55,Keith Urban,Act Of Valor,For You,4:49:00
3,1,0,1,22,Justin Bieber,Believe (Deluxe Edition),All Aound The World,4:04:00
13,1,0,1,38,Lil Wayne,s,My Homies Still,4:07:00
20,12,0,3,22,Little Big Town,s,Pontoon,3:34:00
1,0,0,1,72,Waka Flocka Flame,"Triple F Life: Friends, Fans & Family",Get Low,4:16:00
28,16,5,1,3,"Lumineers, The",The Lumineers,Ho Hey,2:43:00
28,13,0,1,19,Imagine Dragons,Continued Silence - EP,It's Time,3:59:00
6,0,0,1,94,"Black Keys, The",El Camino,Gold On The Ceiling,3:44:00
11,0,0,1,84,Thompson Square,Thompson Square,Glass,3:51:00
26,22,12,5,6,Justin Bieber,Believe (Deluxe Edition),As Long As You Love Me,3:49:00
20,14,0,1,12,Cher Lloyd,s,Want U Back,3:33:00
18,0,0,2,43,Blake Shelton,Red River Blue (DeluxeVersion),Over,3:13:00
17,1,0,1,40,matchbox twenty,s,She's So Mean,3:50:00
23,4,0,1,27,Lee Brice,Hard 2 Love,Hard To Love,3:40:00
13,0,0,1,73,Driicky Graham,s,Snap Backs & Tattoos,3:29:00
26,20,18,9,1,Maroon 5,Overexposed (Deluxe Edition),One More Night,3:39:00
10,6,2,1,7,Justin Bieber,Believe (Deluxe Edition),Beauty And A Beat,3:47:00
18,0,0,2,57,Meek Mill,s,Amen,4:47:00
15,0,0,1,42,Kelly Clarkson,Stronger (Deluxe Version),Dark Side,3:44:00
1,0,0,1,95,Justin Bieber,Believe (Deluxe Edition),Right Here,3:24:00
20,0,0,1,57,Easton Corbin,s,Lovin' You Is Fun,3:20:00
24,23,7,2,8,Owl City,s,Good Time,3:25:00
1,0,0,1,80,Maroon 5,Overexposed (Deluxe Edition),Wipe Your Eyes,3:36:00
