"Name","Size","State","Sector","Urbanization","Total Enrollment","Percent Admitted (Total)","Graduation Rate","Tuition","Total Price (In-State)","Total Price (Out-of-State)"
"Alabama A & M University",2500,"Alabama","Public- 4-year or above","City: Midsize",4922,50,32,6828,17688,23016
"University of Alabama at Birmingham",15000,"Alabama","Public- 4-year or above","City: Midsize",17575,72,45,6264,21153,29145
"University of Alabama at Huntsville",734,"Alabama","Public- 4-year or above","City: Midsize",7629,64,45,8094,21691,33021
"Auburn University",35000,"Alabama","Public- 4-year or above","City: Small",25469,70,66,8698,22352,36926
"Concordia College Selma",800,"Alabama","Private not-for-profit- 4-year or above","Town: Remote",719,,5,8090,18040,18040
"Heritage Christian University",750,"Alabama","Private not-for-profit- 4-year or above","Rural: Fringe",86,,0,12030,21087,21087
"University of Mobile",2500,"Alabama","Private not-for-profit- 4-year or above","Rural: Fringe",1734,81,43,17220,29830,29830
"Talladega College",750,"Alabama","Private not-for-profit- 4-year or above","Town: Distant",712,,20,11143,19048,19048
"University of Alaska Anchorage",15000,"Alaska","Public- 4-year or above","City: Large",18128,,26,5396,17917,29557
"University of Alaska Southeast",2500,"Alaska","Public- 4-year or above","Rural: Fringe",3344,,21,5380,14928,26568
"Collins College",750,"Arizona","Private for-profit- 4-year or above","City: Large",892,,41,12650,,
"DeVry University-Arizona",2500,"Arizona","Private for-profit- 4-year or above","City: Large",1762,92,34,15248,,
"Grand Canyon University",35000,"Arizona","Private for-profit- 4-year or above","City: Large",40487,37,31,16500,32100,32100
"Prescott College",2500,"Arizona","Private not-for-profit- 4-year or above","City: Small",1134,83,29,27829,38249,38249
"Arizona Christian University",750,"Arizona","Private not-for-profit- 4-year or above","City: Large",598,57,35,18968,34806,34806
"Western International University",2500,"Arizona","Private for-profit- 4-year or above","City: Large",3239,,3,10560,,
"University of Arkansas at Little Rock",15000,"Arkansas","Public- 4-year or above","City: Midsize",13068,96,22,6937,20523,30033
"Lyon College",750,"Arkansas","Private not-for-profit- 4-year or above","Town: Remote",600,65,50,22906,33246,33246
"University of Arkansas",35000,"Arkansas","Public- 4-year or above","City: Small",23199,61,59,7174,20464,30896
"Harding University",8000,"Arkansas","Private not-for-profit- 4-year or above","Town: Distant",7056,72,63,14610,24740,24740
"John Brown University",2500,"Arkansas","Private not-for-profit- 4-year or above","Rural: Fringe",2454,73,66,20766,31980,31980
"Williams Baptist College",750,"Arkansas","Private not-for-profit- 4-year or above","Rural: Distant",593,59,36,12620,22148,22148
"Southern Arkansas University Main Campus",2500,"Arkansas","Public- 4-year or above","Town: Remote",3382,67,33,6786,17718,20598
"Academy of Art University",15000,"California","Private for-profit- 4-year or above","City: Large",18093,,34,18050,36202,36202
"Art Center College of Design",2500,"California","Private not-for-profit- 4-year or above","City: Midsize",1842,63,54,34044,,
"Bethesda University of California",750,"California","Private not-for-profit- 4-year or above","City: Large",331,75,61,7620,,
"California Baptist University",8000,"California","Private not-for-profit- 4-year or above","City: Large",5413,74,55,25808,39258,39258
"California College of the Arts",2500,"California","Private not-for-profit- 4-year or above","City: Large",1992,76,49,37040,52240,52240
"California Institute of Technology",2500,"California","Private not-for-profit- 4-year or above","City: Midsize",2231,13,87,37704,54090,54090
"California Lutheran University",2500,"California","Private not-for-profit- 4-year or above","City: Midsize",4103,44,64,32860,48782,48782
"California State University-Stanislaus",8000,"California","Public- 4-year or above","Suburb: Small",9246,34,49,6582,20060,31220
"California State University-San Bernardino",15000,"California","Public- 4-year or above","City: Midsize",17250,19,45,6518,21063,32223
"California State University-Chico",15000,"California","Public- 4-year or above","City: Small",15920,62,59,6890,23100,34260
"California State University-Dominguez Hills",15000,"California","Public- 4-year or above","City: Small",14364,58,24,6095,21690,32350
"California State University-Fresno",35000,"California","Public- 4-year or above","City: Large",21981,56,49,6263,21069,32229
"California State University-Fullerton",35000,"California","Public- 4-year or above","City: Midsize",36156,45,50,6120,22220,33380
"California State University-Northridge",35000,"California","Public- 4-year or above","City: Large",36911,74,46,6488,24880,36040
"University of California-Davis",35000,"California","Public- 4-year or above","Suburb: Small",31732,46,82,13860,31199,54077
"San Jose State University",35000,"California","Public- 4-year or above","City: Large",30236,57,46,6828,23671,34831
"Scripps College",750,"California","Private not-for-profit- 4-year or above","Suburb: Large",985,36,88,41950,56700,56700
"Shasta Bible College and Graduate School",750,"California","Private not-for-profit- 4-year or above","City: Small",62,100,63,10320,26222,26222
"Simpson University",2500,"California","Private not-for-profit- 4-year or above","Rural: Fringe",1297,52,43,21600,33124,33124
"Saint Marys College of California",2500,"California","Private not-for-profit- 4-year or above","Suburb: Large",4099,69,64,37150,54742,54742
"Sonoma State University",8000,"California","Public- 4-year or above","Suburb: Large",8668,81,57,6862,23931,35091
"Vanguard University of Southern California",2500,"California","Private not-for-profit- 4-year or above","City: Midsize",2197,74,55,27400,40585,40585
"Southern California Institute of Architecture",750,"California","Private not-for-profit- 4-year or above","City: Large",457,89,58,30600,,
"University of Southern California",35000,"California","Private not-for-profit- 4-year or above","City: Large",38010,23,90,42818,57876,57876
"Thomas Aquinas College",750,"California","Private not-for-profit- 4-year or above","Rural: Distant",358,79,69,22850,33962,33962
"Walden University",35000,"Minnesota","Private for-profit- 4-year or above","City: Large",48982,,,10610,,
"Westmont College",2500,"California","Private not-for-profit- 4-year or above","Suburb: Midsize",1341,61,77,35650,49990,49990
"Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary",750,"California","Private not-for-profit- 4-year or above","City: Large",140,100,15,12200,23000,23000
"Adams State College",2500,"Colorado","Public- 4-year or above","Town: Remote",3302,64,20,5627,17237,27485
"University of Colorado Denver",35000,"Colorado","Public- 4-year or above","City: Large",22495,60,40,7394,21774,34950
"University of Colorado-Colorado Springs",15000,"Colorado","Public- 4-year or above","City: Large",10183,67,41,6512,22598,33462
"Nazarene Bible College",750,"Colorado","Private not-for-profit- 4-year or above","City: Large",860,,50,11250,,
"Rocky Mountain College of Art and Design",750,"Colorado","Private for-profit- 4-year or above","Suburb: Large",635,,56,27648,,
"Colorado State University-Pueblo",8000,"Colorado","Public- 4-year or above","City: Midsize",7174,93,32,6270,19446,26146
"Albertus Magnus College",2500,"Connecticut","Private not-for-profit- 4-year or above","City: Midsize",2010,87,51,26294,43648,43648
"University of Bridgeport",2500,"Connecticut","Private not-for-profit- 4-year or above","City: Midsize",4805,57,28,27330,45573,45573
"Fairfield University",2500,"Connecticut","Private not-for-profit- 4-year or above","Suburb: Large",4991,72,82,40580,55590,55590
"University of Hartford",8000,"Connecticut","Private not-for-profit- 4-year or above","City: Midsize",7025,62,55,30754,45164,45164
"Holy Apostles College and Seminary",750,"Connecticut","Private not-for-profit- 4-year or above","Suburb: Large",381,,,9840,,
"Lyme Academy College of Fine Arts",750,"Connecticut","Private not-for-profit- 4-year or above","Suburb: Midsize",81,97,83,26784,,
"Mitchell College",750,"Connecticut","Private not-for-profit- 4-year or above","City: Small",952,90,46,27714,44806,44806
"University of New Haven",8000,"Connecticut","Private not-for-profit- 4-year or above","Suburb: Large",6385,64,52,31750,47280,47280
"Post University",8000,"Connecticut","Private for-profit- 4-year or above","Suburb: Midsize",5634,77,36,25900,41500,41500
"Quinnipiac University",8000,"Connecticut","Private not-for-profit- 4-year or above","Suburb: Large",8352,63,77,36130,51780,51780
"Sacred Heart University",8000,"Connecticut","Private not-for-profit- 4-year or above","Suburb: Large",6407,64,68,32724,50500,50500
"Southern Connecticut State University",15000,"Connecticut","Public- 4-year or above","City: Midsize",11533,72,44,8248,20313,30937
"Trinity College",2500,"Connecticut","Private not-for-profit- 4-year or above","City: Midsize",2393,30,86,44070,57575,57575
"United States Coast Guard Academy",2500,"Connecticut","Public- 4-year or above","City: Small",1045,16,83,0,0,0
"Western Connecticut State University",8000,"Connecticut","Public- 4-year or above","City: Small",6407,62,40,8104,21952,32576
"Yale University",15000,"Connecticut","Private not-for-profit- 4-year or above","City: Midsize",11875,8,97,40500,58250,58250
"Delaware State University",2500,"Delaware","Public- 4-year or above","City: Small",4154,43,35,7056,22242,30238
"American University",15000,"District of Columbia","Private not-for-profit- 4-year or above","City: Large",12724,42,77,38071,53653,53653
"Catholic University of America",8000,"District of Columbia","Private not-for-profit- 4-year or above","City: Large",6894,87,68,35460,53184,53184
"Corcoran College of Art and Design",750,"District of Columbia","Private not-for-profit- 4-year or above","City: Large",696,27,57,30140,46810,46810
"George Washington University",35000,"District of Columbia","Private not-for-profit- 4-year or above","City: Large",25260,32,81,44148,57148,57148
"Howard University",15000,"District of Columbia","Private not-for-profit- 4-year or above","City: Large",10583,54,63,20171,39237,39237
"Trinity Washington University",2500,"District of Columbia","Private not-for-profit- 4-year or above","City: Large",2556,51,45,20975,33245,33245
"The Baptist College of Florida",750,"Florida","Private not-for-profit- 4-year or above","Rural: Distant",606,44,31,9100,16138,16138
"Barry University",8000,"Florida","Private not-for-profit- 4-year or above","Suburb: Large",8905,59,35,28160,41640,41640
"Bethune-Cookman University",2500,"Florida","Private not-for-profit- 4-year or above","City: Small",3578,67,37,13990,27030,27030
"Talmudic College of Florida",750,"Florida","Private not-for-profit- 4-year or above","City: Small",56,88,80,10500,21900,21900
"The University of Tampa",8000,"Florida","Private not-for-profit- 4-year or above","City: Large",6737,53,57,23976,36705,36705
"Trinity Baptist College",750,"Florida","Private not-for-profit- 4-year or above","City: Large",278,48,50,8730,16130,16130
"Webber International University",750,"Florida","Private not-for-profit- 4-year or above","Rural: Fringe",751,55,35,19670,34076,34076
"Albany State University",2500,"Georgia","Public- 4-year or above","City: Small",4663,55,41,5802,18842,30456
"Point University",2500,"Georgia","Private not-for-profit- 4-year or above","Suburb: Large",1245,47,40,16226,29606,29606
"Augusta State University",8000,"Georgia","Public- 4-year or above","City: Midsize",6741,62,21,5742,20192,31806
"Columbus State University",8000,"Georgia","Public- 4-year or above","City: Midsize",8307,54,31,5457,19039,30848
"DeVry University-Georgia",2500,"Georgia","Private for-profit- 4-year or above","Suburb: Large",4100,89,23,15188,,
"Emmanuel College",750,"Georgia","Private not-for-profit- 4-year or above","Town: Distant",788,56,39,14550,22950,22950
"Emory University",15000,"Georgia","Private not-for-profit- 4-year or above","Suburb: Large",13893,29,88,41164,55992,55992
"Fort Valley State University",2500,"Georgia","Public- 4-year or above","Rural: Fringe",3896,58,33,6030,19263,30877
"Georgia Institute of Technology-Main Campus",35000,"Georgia","Public- 4-year or above","City: Large",20941,52,79,9652,21098,39308
"Georgia Southwestern State University",2500,"Georgia","Public- 4-year or above","Town: Distant",3046,68,30,4786,18484,27772
"Georgia College & State University",8000,"Georgia","Public- 4-year or above","Town: Distant",6636,70,55,8344,22229,39267
"University of Georgia",35000,"Georgia","Public- 4-year or above","City: Midsize",34816,59,84,9472,20820,39030
"LaGrange College",750,"Georgia","Private not-for-profit- 4-year or above","Town: Distant",957,59,48,23272,36464,36464
"Macon State College",8000,"Georgia","Public- 4-year or above","Rural: Fringe",5702,75,13,3088,12398,18384
"Herzing University-Atlanta",750,"Georgia","Private for-profit- 4-year or above","City: Large",467,100,16,11760,,
"North Georgia College & State University",8000,"Georgia","Public- 4-year or above","Town: Distant",6067,53,52,5505,16885,26466
"Paine College",750,"Georgia","Private not-for-profit- 4-year or above","City: Midsize",891,69,27,12502,22620,22620
"Piedmont College",2500,"Georgia","Private not-for-profit- 4-year or above","Town: Distant",2818,64,46,19000,30874,30874
"Reinhardt University",2500,"Georgia","Private not-for-profit- 4-year or above","Rural: Fringe",1154,58,48,17670,31356,31356
"Thomas University",2500,"Georgia","Private not-for-profit- 4-year or above","Town: Distant",1109,,9,13320,18805,18805
"Valdosta State University",15000,"Georgia","Public- 4-year or above","City: Small",13089,58,43,5697,20193,29774
"University of Hawaii at Hilo",2500,"Hawaii","Public- 4-year or above","Town: Remote",4139,71,36,5944,16068,27540
"University of Hawaii at Manoa",35000,"Hawaii","Public- 4-year or above","City: Large",20429,71,55,9100,22071,36903
"Boise State University",15000,"Idaho","Public- 4-year or above","City: Midsize",19664,85,31,5566,19192,29592
"The College of Idaho",2500,"Idaho","Private not-for-profit- 4-year or above","Suburb: Small",1041,65,63,22695,33847,33847
"Northwest Nazarene University",2500,"Idaho","Private not-for-profit- 4-year or above","City: Small",2260,,52,24030,33235,33235
"American Academy of Art",750,"Illinois","Private for-profit- 4-year or above","City: Large",461,91,44,26570,,
"School of the Art Institute of Chicago",2500,"Illinois","Private not-for-profit- 4-year or above","City: Large",3315,77,60,37560,56900,56900
"Augustana College",2500,"Illinois","Private not-for-profit- 4-year or above","City: Small",2524,62,76,33363,44029,44029
"Blackburn College",750,"Illinois","Private not-for-profit- 4-year or above","Rural: Fringe",549,68,48,16296,23000,23000
"University of Chicago",15000,"Illinois","Private not-for-profit- 4-year or above","City: Large",14979,16,92,43780,59950,59950
"Columbia College-Chicago",15000,"Illinois","Private not-for-profit- 4-year or above","City: Large",11625,,42,20644,38283,38283
"Olivet Nazarene University",2500,"Illinois","Private not-for-profit- 4-year or above","Suburb: Small",4177,80,58,27590,37690,37690
"Quincy University",2500,"Illinois","Private not-for-profit- 4-year or above","Town: Remote",1735,91,50,24140,36960,36960
"The Illinois Institute of Art-Chicago",2500,"Illinois","Private for-profit- 4-year or above","City: Large",3039,43,31,17796,37257,37257
"University of St Francis",2500,"Illinois","Private not-for-profit- 4-year or above","City: Midsize",3321,44,63,25932,37860,37860
"Saint Xavier University",2500,"Illinois","Private not-for-profit- 4-year or above","City: Large",4709,83,52,27060,38830,38830
"Shimer College",750,"Illinois","Private not-for-profit- 4-year or above","City: Large",127,46,63,30150,,
"Southern Illinois University Carbondale",15000,"Illinois","Public- 4-year or above","Rural: Fringe",19817,44,45,11038,23467,35158
"Southern Illinois University Edwardsville",15000,"Illinois","Public- 4-year or above","Suburb: Large",14235,80,52,8865,21663,31608
"Trinity Christian College",2500,"Illinois","Private not-for-profit- 4-year or above","Suburb: Large",1470,85,64,22572,34874,34874
"Trinity International University-Illinois",2500,"Illinois","Private not-for-profit- 4-year or above","Suburb: Large",2823,98,56,24610,37090,37090
"VanderCook College of Music",750,"Illinois","Private not-for-profit- 4-year or above","City: Large",366,69,45,23190,37864,37864
"Western Illinois University",15000,"Illinois","Public- 4-year or above","Town: Remote",12554,66,53,10719,23420,27244
"Anderson University",2500,"Indiana","Private not-for-profit- 4-year or above","City: Small",2611,56,63,24610,36870,36870
"Butler University",2500,"Indiana","Private not-for-profit- 4-year or above","City: Large",4626,61,73,31948,45748,45748
"Calumet College of Saint Joseph",2500,"Indiana","Private not-for-profit- 4-year or above","Suburb: Large",1148,37,28,14880,,
"Earlham College",2500,"Indiana","Private not-for-profit- 4-year or above","Town: Distant",1207,68,66,38284,48354,48354
"Franklin College",2500,"Indiana","Private not-for-profit- 4-year or above","Suburb: Large",1051,60,49,25865,36715,36715
"Goshen College",750,"Indiana","Private not-for-profit- 4-year or above","City: Small",945,60,73,25700,37040,37040
"Marian University",2500,"Indiana","Private not-for-profit- 4-year or above","City: Large",2550,54,58,26000,38841,38841
"Indiana Wesleyan University",15000,"Indiana","Private not-for-profit- 4-year or above","Town: Distant",15872,72,67,21956,32276,32276
"Martin University",750,"Indiana","Private not-for-profit- 4-year or above","City: Large",992,,8,13520,,
"Oakland City University",2500,"Indiana","Private not-for-profit- 4-year or above","Town: Distant",2610,69,59,16640,27640,27640
"Purdue University-Calumet Campus",8000,"Indiana","Public- 4-year or above","Suburb: Large",9786,47,28,6336,20232,28209
"University of Saint Francis-Fort Wayne",2500,"Indiana","Private not-for-profit- 4-year or above","City: Large",2343,54,54,23950,34850,34850
"Saint Mary's College",2500,"Indiana","Private not-for-profit- 4-year or above","Rural: Fringe",1510,84,79,32000,44500,44500
"Valparaiso University",2500,"Indiana","Private not-for-profit- 4-year or above","Suburb: Large",3964,74,71,31040,42636,42636
"Briar Cliff University",2500,"Iowa","Private not-for-profit- 4-year or above","City: Small",1185,,45,24694,36500,36500
"Clarke University",2500,"Iowa","Private not-for-profit- 4-year or above","City: Small",1232,74,60,25760,37560,37560
"Coe College",2500,"Iowa","Private not-for-profit- 4-year or above","City: Midsize",1378,64,69,32380,43550,43550
"Divine Word College",750,"Iowa","Private not-for-profit- 4-year or above","Rural: Distant",126,92,17,11700,17395,17395
"Mount Mercy University",2500,"Iowa","Private not-for-profit- 4-year or above","City: Midsize",1824,70,60,24360,36322,36322
"Ashford University",35000,"Iowa","Private for-profit- 4-year or above","Town: Distant",74596,90,22,10650,23970,23970
"Palmer College of Chiropractic-Davenport",2500,"Iowa","Private not-for-profit- 4-year or above","City: Small",2198,44,70,7845,29871,29871
"Waldorf College",750,"Iowa","Private for-profit- 4-year or above","Town: Remote",817,49,45,18876,29333,29333
"Benedictine College",2500,"Kansas","Private not-for-profit- 4-year or above","Town: Distant",2070,59,56,21475,36380,36380
"Bethany College",750,"Kansas","Private not-for-profit- 4-year or above","Town: Remote",626,60,42,21677,32793,32793
"Bethel College-North Newton",750,"Kansas","Private not-for-profit- 4-year or above","Town: Distant",523,70,52,21700,32950,32950
"Southwestern College",2500,"Kansas","Private not-for-profit- 4-year or above","Town: Distant",1687,87,57,21680,35092,35092
"Sterling College",750,"Kansas","Private not-for-profit- 4-year or above","Town: Remote",674,49,48,20150,29672,29672
"Alice Lloyd College",750,"Kentucky","Private not-for-profit- 4-year or above","Rural: Remote",593,33,45,9600,19200,19200
"Bellarmine University",2500,"Kentucky","Private not-for-profit- 4-year or above","City: Large",3432,52,66,32140,48846,48846
"Berea College",2500,"Kentucky","Private not-for-profit- 4-year or above","Town: Distant",1661,12,62,910,9204,9204
"Dillard University",2500,"Louisiana","Private not-for-profit- 4-year or above","City: Large",1249,49,24,14770,28093,28093
"Grambling State University",8000,"Louisiana","Public- 4-year or above","Rural: Fringe",5207,55,28,4886,20176,27389
"Louisiana Tech University",15000,"Louisiana","Public- 4-year or above","Town: Distant",11518,62,48,5896,16390,23515
"Loyola University-New Orleans",8000,"Louisiana","Private not-for-profit- 4-year or above","City: Large",5008,65,,33552,46802,46802
"University of New Orleans",15000,"Louisiana","Public- 4-year or above","City: Large",10903,56,38,5214,17764,29288
"New Orleans Baptist Theological Seminary",2500,"Louisiana","Private not-for-profit- 4-year or above","City: Large",2930,100,27,5733,10050,10050
"University of Louisiana-Monroe",8000,"Louisiana","Public- 4-year or above","City: Small",8583,92,35,5101,15383,23329
"Our Lady of Holy Cross College",2500,"Louisiana","Private not-for-profit- 4-year or above","City: Large",1225,63,,14699,,
"Southeastern Louisiana University",15000,"Louisiana","Public- 4-year or above","Town: Distant",15403,43,33,4604,15880,25385
"Tulane University of Louisiana",15000,"Louisiana","Private not-for-profit- 4-year or above","City: Large",12845,25,,43434,56484,56484
"Xavier University of Louisiana",2500,"Louisiana","Private not-for-profit- 4-year or above","City: Large",3399,64,56,17900,28339,28339
"Bowdoin College",2500,"Maine","Private not-for-profit- 4-year or above","Town: Distant",1778,16,92,42816,56540,56540
"Colby College",2500,"Maine","Private not-for-profit- 4-year or above","Town: Remote",1815,29,91,42820,55400,55400
"University of Maine at Fort Kent",2500,"Maine","Public- 4-year or above","Rural: Remote",1080,87,40,7575,18625,28585
"University of Maine at Machias",750,"Maine","Public- 4-year or above","Rural: Remote",863,79,38,7480,18428,30248
"University of Maine",15000,"Maine","Public- 4-year or above","Suburb: Small",11168,78,60,10588,22732,38500
"Maine Maritime Academy",750,"Maine","Public- 4-year or above","Rural: Distant",943,64,71,11305,23225,32625
"University of Maine at Presque Isle",2500,"Maine","Public- 4-year or above","Rural: Fringe",1453,,30,7300,17872,27832
"Coppin State University",2500,"Maryland","Public- 4-year or above","City: Large",3813,54,15,5732,18467,22958
"Frostburg State University",8000,"Maryland","Public- 4-year or above","Suburb: Small",5429,55,45,7128,18866,28758
"Washington Bible College-Capital Bible Seminary",750,"Maryland","Private not-for-profit- 4-year or above","Suburb: Large",502,97,33,14220,28174,28174
"Washington College",2500,"Maryland","Private not-for-profit- 4-year or above","Town: Distant",1553,57,75,38542,50520,50520
"McDaniel College",2500,"Maryland","Private not-for-profit- 4-year or above","Suburb: Small",3070,75,74,34780,44860,44860
"New England College of Business and Finance",2500,"Massachusetts","Private for-profit- 4-year or above","City: Large",1319,,,7875,,
"American International College",2500,"Massachusetts","Private not-for-profit- 4-year or above","City: Midsize",3428,70,36,27902,41866,41866
"Amherst College",2500,"Massachusetts","Private not-for-profit- 4-year or above","Town: Fringe",1791,13,96,42898,56898,56898
"Assumption College",2500,"Massachusetts","Private not-for-profit- 4-year or above","City: Midsize",2795,75,67,32545,45830,45830
"Bentley University",8000,"Massachusetts","Private not-for-profit- 4-year or above","City: Small",5574,43,88,38328,53098,53098
"Berklee College of Music",2500,"Massachusetts","Private not-for-profit- 4-year or above","City: Large",4307,28,52,34680,55001,55001
"Boston University",35000,"Massachusetts","Private not-for-profit- 4-year or above","City: Large",32439,58,85,41420,56842,56842
"Clark University",2500,"Massachusetts","Private not-for-profit- 4-year or above","City: Midsize",3462,68,80,37350,46200,46200
"College of the Holy Cross",2500,"Massachusetts","Private not-for-profit- 4-year or above","City: Midsize",2905,33,91,41488,54358,54358
"Lasell College",2500,"Massachusetts","Private not-for-profit- 4-year or above","City: Small",1741,74,47,27500,43300,43300
"University of Massachusetts Amherst",35000,"Massachusetts","Public- 4-year or above","Town: Fringe",28084,66,67,12797,24709,37497
"Massachusetts College of Art and Design",2500,"Massachusetts","Public- 4-year or above","City: Large",2422,63,68,9700,25300,42000
"Massachusetts Institute of Technology",15000,"Massachusetts","Private not-for-profit- 4-year or above","City: Midsize",10894,10,93,40732,55270,55270
"Massachusetts Maritime Academy",2500,"Massachusetts","Public- 4-year or above","Suburb: Midsize",1368,63,65,6867,20534,34731
"School of the Museum of Fine Arts-Boston",750,"Massachusetts","Private not-for-profit- 4-year or above","City: Large",747,86,46,33166,52562,52562
"The New England Institute of Art",2500,"Massachusetts","Private for-profit- 4-year or above","Suburb: Large",1290,31,41,18752,38054,38054
"Northeastern University",35000,"Massachusetts","Private not-for-profit- 4-year or above","City: Large",26959,35,77,38252,53812,53812
"Suffolk University",8000,"Massachusetts","Private not-for-profit- 4-year or above","City: Large",9101,79,55,29894,48202,48202
"Tufts University",15000,"Massachusetts","Private not-for-profit- 4-year or above","Suburb: Large",10777,22,90,42962,56600,56600
"Western New England University",2500,"Massachusetts","Private not-for-profit- 4-year or above","City: Midsize",3729,80,61,30844,45571,45571
"Westfield State University",8000,"Massachusetts","Public- 4-year or above","Suburb: Large",6092,61,58,7886,19712,25792
"Albion College",2500,"Michigan","Private not-for-profit- 4-year or above","Town: Distant",1514,69,68,32662,43922,43922
"Aquinas College",2500,"Michigan","Private not-for-profit- 4-year or above","City: Midsize",2142,79,52,24286,34076,34076
"Central Michigan University",35000,"Michigan","Public- 4-year or above","Town: Distant",28194,68,54,10024,20556,32624
"Cleary University",750,"Michigan","Private not-for-profit- 4-year or above","City: Midsize",711,,64,17760,,
"College for Creative Studies",2500,"Michigan","Private not-for-profit- 4-year or above","City: Large",1391,42,57,32785,47085,47085
"Davenport University",15000,"Michigan","Private not-for-profit- 4-year or above","Rural: Fringe",11707,93,25,12536,26288,26288
"Kettering University",2500,"Michigan","Private not-for-profit- 4-year or above","City: Midsize",2079,64,59,29988,45315,45315
"Grace Bible College",750,"Michigan","Private not-for-profit- 4-year or above","City: Small",347,81,53,11860,21032,21032
"Cornerstone University",2500,"Michigan","Private not-for-profit- 4-year or above","City: Midsize",2747,63,44,22388,33514,33514
"Hope College",2500,"Michigan","Private not-for-profit- 4-year or above","City: Small",3249,82,79,27020,37660,37660
"Lake Superior State University",2500,"Michigan","Public- 4-year or above","Town: Remote",2805,91,35,9364,20617,25249
"Marygrove College",2500,"Michigan","Private not-for-profit- 4-year or above","City: Large",2326,45,22,18020,28900,28900
"University of Michigan-Ann Arbor",35000,"Michigan","Public- 4-year or above","City: Midsize",42716,41,90,12634,25204,50352
"Michigan State University",35000,"Michigan","Public- 4-year or above","Rural: Fringe",47825,73,77,12202,23202,42148
"Michigan Technological University",8000,"Michigan","Public- 4-year or above","Town: Remote",7022,74,65,12853,25157,38252
"University of Michigan-Dearborn",8000,"Michigan","Public- 4-year or above","City: Small",8664,59,49,9788,,
"University of Michigan-Flint",8000,"Michigan","Public- 4-year or above","City: Midsize",8262,71,37,8712,20452,28754
"Northwood University-Michigan",2500,"Michigan","Private not-for-profit- 4-year or above","Town: Distant",3538,68,55,20140,32018,32018
"Kuyper College",750,"Michigan","Private not-for-profit- 4-year or above","Suburb: Large",320,55,50,17526,26711,26711
"Sacred Heart Major Seminary",750,"Michigan","Private not-for-profit- 4-year or above","City: Large",466,100,0,16027,30112,30112
"Siena Heights University",2500,"Michigan","Private not-for-profit- 4-year or above","Town: Distant",2690,55,44,20554,30766,30766
"Western Michigan University",35000,"Michigan","Public- 4-year or above","City: Small",25086,83,56,9606,22154,34886
"Minnesota School of Business-Richfield",2500,"Minnesota","Private for-profit- 4-year or above","Suburb: Large",1647,,31,15660,,
"Brown College-Mendota Heights",750,"Minnesota","Private for-profit- 4-year or above","Suburb: Large",641,,49,17100,,
"North Central University",2500,"Minnesota","Private not-for-profit- 4-year or above","City: Large",1384,71,41,17400,27008,27008
"Northwestern College",2500,"Minnesota","Private not-for-profit- 4-year or above","Suburb: Large",3068,75,63,25700,36810,36810
"Saint Cloud State University",15000,"Minnesota","Public- 4-year or above","City: Small",17604,90,49,7105,18097,25393
"Saint Johns University",2500,"Minnesota","Private not-for-profit- 4-year or above","Rural: Fringe",2016,74,80,33606,44250,44250
"St Olaf College",2500,"Minnesota","Private not-for-profit- 4-year or above","Town: Distant",3179,53,85,38150,48850,48850
"College of Visual Arts",750,"Minnesota","Private not-for-profit- 4-year or above","City: Large",210,,45,24810,,
"Southwest Minnesota State University",8000,"Minnesota","Public- 4-year or above","Rural: Fringe",6761,80,39,7743,18825,18825
"University of Southern Mississippi",15000,"Mississippi","Public- 4-year or above","City: Small",16604,63,47,5834,18426,26382
"Tougaloo College",750,"Mississippi","Private not-for-profit- 4-year or above","City: Midsize",945,35,48,10218,20748,20748
"Baptist Bible College and Graduate School",750,"Missouri","Private not-for-profit- 4-year or above","City: Midsize",498,,27,6920,15960,15960
"Central Christian College of the Bible",750,"Missouri","Private not-for-profit- 4-year or above","Rural: Fringe",317,55,39,13200,26341,26341
"Central Methodist University-College of Liberal Arts & Sciences",2500,"Missouri","Private not-for-profit- 4-year or above","Town: Distant",1172,63,43,20130,30860,30860
"University of Central Missouri",15000,"Missouri","Public- 4-year or above","Rural: Fringe",11637,80,50,7785,18579,24684
"Columbia College",15000,"Missouri","Private not-for-profit- 4-year or above","City: Midsize",18091,,40,6034,21580,21580
"Missouri Southern State University",8000,"Missouri","Public- 4-year or above","City: Small",5591,97,33,5090,14648,19212
"Missouri Tech",750,"Missouri","Private for-profit- 4-year or above","City: Small",129,100,75,14330,,
"Missouri Western State University",8000,"Missouri","Public- 4-year or above","City: Small",6260,,28,5676,16629,21387
"University of Missouri-Columbia",35000,"Missouri","Public- 4-year or above","City: Midsize",33762,81,69,8989,21874,34669
"University of Missouri-Kansas City",15000,"Missouri","Public- 4-year or above","City: Large",15473,56,43,9029,26846,39014
"Ozark Christian College",750,"Missouri","Private not-for-profit- 4-year or above","City: Small",647,,39,10140,17910,17910
"College of the Ozarks",2500,"Missouri","Private not-for-profit- 4-year or above","Town: Distant",1377,9,54,18030,26676,26676
"Research College of Nursing",750,"Missouri","Private for-profit- 4-year or above","City: Large",334,64,,28620,39600,39600
"Rockhurst University",2500,"Missouri","Private not-for-profit- 4-year or above","City: Large",2801,76,74,28660,41513,41513
"Southwest Baptist University",2500,"Missouri","Private not-for-profit- 4-year or above","Town: Distant",3633,88,50,18200,27750,27750
