"Name","Size","State","Sector","Urbanization","Total Enrollment","Percent Admitted (Total)","Graduation Rate","Tuition","Total Price (In-State)","Total Price (Out-of-State)"
"DeVry University-Washington",750,"Washington","Private for-profit- 4-year or above","Suburb: Large",748,82,21,15188,,
"Somerset Christian College",750,"New Jersey","Private not-for-profit- 4-year or above","Rural: Fringe",276,,33,15450,,
"International Academy of Design and Technology-Orlando",750,"Florida","Private for-profit- 4-year or above","Suburb: Large",771,,22,12600,,
"San Diego State University-Imperial Valley Campus",750,"California","Public- 4-year or above","Town: Fringe",808,45,66,5706,,
"The Art Institute of California-Orange County",2500,"California","Private for-profit- 4-year or above","City: Large",2227,44,38,18948,34128,34128
"Franklin W. Olin College of Engineering",750,"Massachusetts","Private not-for-profit- 4-year or above","Suburb: Large",344,16,96,41950,58200,58200
"Argosy University-Dallas",750,"Texas","Private for-profit- 4-year or above","Suburb: Large",585,,,12612,,
"DeVry University-North Carolina",750,"North Carolina","Private for-profit- 4-year or above","Rural: Fringe",760,92,40,15188,,
"Grantham University",8000,"Missouri","Private for-profit- 4-year or above","City: Large",9323,,33,6390,,
"DeVry University-Pennsylvania",2500,"Pennsylvania","Private for-profit- 4-year or above","Suburb: Large",2021,88,29,15188,,
"Faith Evangelical College & Seminary",750,"Washington","Private not-for-profit- 4-year or above","City: Midsize",306,,71,7560,,
"Family of Faith College",750,"Oklahoma","Private not-for-profit- 4-year or above","Rural: Distant",25,100,25,5460,17802,17802
"DigiPen Institute of Technology",750,"Washington","Private for-profit- 4-year or above","Suburb: Large",899,49,54,25160,,
"University of Phoenix-Cincinnati Campus",750,"Ohio","Private for-profit- 4-year or above","Rural: Fringe",191,,10,9859,,
"University of Phoenix-Wichita Campus",750,"Kansas","Private for-profit- 4-year or above","City: Large",180,,13,10234,,
"University of Phoenix-Charlotte Campus",2500,"North Carolina","Private for-profit- 4-year or above","City: Large",1142,,10,10858,,
"University of Phoenix-Columbus Ohio Campus",750,"Ohio","Private for-profit- 4-year or above","Rural: Fringe",221,,15,11981,,
"DeVry University-Nevada",750,"Nevada","Private for-profit- 4-year or above","Suburb: Large",384,92,0,15188,,
"Baptist University of the Americas",750,"Texas","Private not-for-profit- 4-year or above","City: Large",259,,33,6600,17470,17470
"New Life Theological Seminary",750,"North Carolina","Private not-for-profit- 4-year or above","City: Large",144,,0,7550,,
"The Art Institute of Tucson",750,"Arizona","Private for-profit- 4-year or above","City: Large",491,57,50,17616,31605,31605
"American InterContinental University-Houston",750,"Texas","Private for-profit- 4-year or above","City: Large",529,100,13,14070,,
"University of California-Merced",8000,"California","Public- 4-year or above","Rural: Fringe",5198,89,58,13070,31938,54816
"University of Phoenix-Jersey City Campus",750,"New Jersey","Private for-profit- 4-year or above","Suburb: Large",578,,17,9859,,
"University of Phoenix-Minneapolis/St Paul Campus",750,"Minnesota","Private for-profit- 4-year or above","Suburb: Large",274,,7,11981,,
"University of Phoenix-Louisville Campus",750,"Kentucky","Private for-profit- 4-year or above","Suburb: Large",254,,5,9859,,
"Neumont University",750,"Utah","Private for-profit- 4-year or above","Suburb: Large",341,,83,23100,,
"University of Phoenix-Central Valley Campus",2500,"California","Private for-profit- 4-year or above","City: Large",2664,,22,11981,,
"Ecclesia College",750,"Arkansas","Private not-for-profit- 4-year or above","Rural: Fringe",141,41,38,15140,26663,26663
"W L Bonner College",750,"South Carolina","Private not-for-profit- 4-year or above","City: Midsize",43,,45,7152,12380,12380
"University of Phoenix-Richmond Campus",750,"Virginia","Private for-profit- 4-year or above","Suburb: Large",592,,3,9859,,
"University of Phoenix-Raleigh Campus",750,"North Carolina","Private for-profit- 4-year or above","Rural: Fringe",524,,7,10858,,
"International Academy of Design and Technology-Seattle",750,"Washington","Private for-profit- 4-year or above","Rural: Fringe",436,,41,13935,,
"Westwood College-Arlington Ballston",750,"Virginia","Private for-profit- 4-year or above","City: Midsize",469,54,,15291,,
"Argosy University-Los Angeles",750,"California","Private for-profit- 4-year or above","Suburb: Large",598,,0,12612,,
"Expression College for Digital Arts",750,"California","Private for-profit- 4-year or above","Suburb: Large",808,96,50,22625,,
"University of Phoenix-Savannah Campus",750,"Georgia","Private for-profit- 4-year or above","Rural: Fringe",681,,18,10858,,
"University of Phoenix-Northern Nevada Campus",750,"Nevada","Private for-profit- 4-year or above","City: Midsize",454,,16,10858,,
"Georgia Gwinnett College",8000,"Georgia","Public- 4-year or above","Suburb: Large",7742,,,5290,18490,27490
